Strata_ID_Number,D_Wh_Cancer,D_Bl_Cancer,D_Hi_Cancer,No_Exercise,Few_Fruit_Veg,Obesity,Smoker,Uninsured,Prim_Care_Phys_Rate,Community_Health_Center_Ind
82,-1111,-1111,-1111,27.4,-1111.1,17.4,22.8,662,37.4,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,371,58.7,2
58,12,-1111,-1111,33.4,81.2,22.4,21.3,801,43.8,2
19,17,-1111,-1111,23,75.8,21.7,23.9,6059,87.2,1
56,28,-1111,-1111,-1111.1,-1111.1,24.7,11.5,645,87,2
4,18,12,-1111,24.6,79.9,24.5,22.9,59433,98.5,1
42,16,21,-1111,30.7,83.3,21.2,20.2,4417,51.6,1
11,20,-1111,-1111,25.5,80.9,26,19.6,18641,66.1,1
82,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,345,38.6,2
82,-1111,-1111,-1111,29.3,-1111.1,-1111.1,-1111.1,1162,48.8,2
81,14,-1111,-1111,21.7,-1111.1,-1111.1,7.5,485,48.5,2
81,14,-1111,-1111,22.9,-1111.1,17.3,16.2,737,22.3,2
78,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,451,44.5,2
39,12,-1111,-1111,25.5,-1111.1,11.2,19.1,925,18.5,2
27,-2222,-2222,-2222,26.4,78.1,29.7,19.5,2830,28.2,2
39,12,-1111,-1111,27.7,93.7,15.2,18.6,857,52.4,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,13,334,131.1,2
56,28,-1111,-1111,30.2,-1111.1,23.8,16.2,642,28.9,2
82,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,285,0,2
58,12,-1111,-1111,27.9,-1111.1,22,16,733,33.3,2
82,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,461,43.3,2
62,17,-1111,-1111,33.3,-1111.1,31.2,19.8,1447,61,2
61,13,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,520,28,2
6,-1111,11,-1111,37.3,83.1,27.4,28.2,28521,107.9,1
73,15,-1111,-1111,38.8,77.4,27.3,32,3576,62.6,2
65,19,15,-1111,39,83.1,32,32.5,2240,10.7,2
37,11,-1111,-1111,23.7,84.3,25.9,-1111.1,1842,34.3,2
