Unique Visitors,Average Page Depth,Flight Searches,Fare Change Error,Revenue
1082776,11,1049754,1344,49515070
1068675,11,986637,1384,46367640
1215598,10,974633,1353,43588438
1077325,10,822778,1062,38871803
742491,11,582376,538,23490978
833360,11,697067,677,28857013
1150934,10,1040484,1194,44355646
1145175,11,1071985,1311,49091969
1131907,10,974999,1930,44769876
1052409,10,883478,1105,40640012
874717,11,719555,1043,34286908
594674,12,488422,532,19999435
625776,12,526935,526,20622438
831807,11,719292,677,29345248
1135908,11,1082313,1370,49228336
1182707,11,1042601,1356,48058502
1052243,10,926063,1188,42746280
900875,11,780326,1119,37639604
679811,11,562294,529,23464062
840659,11,720447,694,29012511
1103143,10,881035,868,45553744
1184652,10,1059685,970,46914175
1203951,11,1127012,2363,45262273
1084110,10,999448,1040,43826714
940197,11,822302,877,37706226
665831,11,553133,414,21718936
787317,11,665138,558,25860280
1093901,10,1009816,986,42931726
1120053,11,1065691,1841,47709512
1082699,11,987364,1123,44095725
1146624,10,945480,930,40663227
962739,11,775834,644,33902225
693792,11,564904,373,21706960
840420,11,689321,405,26423820
1165292,10,1027559,814,42361640
1121064,10,1041902,839,44898791
1090400,10,981052,810,43317151
1042314,10,887142,732,38220941
968326,10,749992,618,33069082
723718,11,555516,321,19721582
796738,11,632978,339,22758468
1136624,11,1016690,620,38656054
1115199,11,1053621,760,42236939
1154085,11,995230,629,38736082
1086846,11,905916,611,36505431
899924,10,734853,464,31217257
693822,11,566116,227,20039920
775486,11,648176,309,22909620
1048521,11,971414,508,38293127
1074725,11,1005585,635,43251088
1072351,11,961329,1795,41150925
946968,11,826727,1288,37032194
669290,11,568640,316,22736019
551299,11,454457,176,16337319
740299,11,615851,255,21683015
1093513,11,1035391,463,42154914
1125397,11,1116964,628,46751784
1080853,11,1032808,1392,44411815
1013191,11,934226,620,39296113
953551,11,808101,502,34841136
684318,11,565241,236,20542353
795899,11,672600,329,24694901
1128986,11,1039845,541,41254494
1214279,11,1113776,693,45304748
1129308,11,999757,1400,42860710
1057172,11,925349,677,39134179
980601,11,791723,621,33810292
740890,11,577387,274,21227704
819728,11,671708,374,24641524
1104629,11,994202,611,40525165
1124555,11,1053476,882,44311529
1067288,11,973045,750,42327967
1050987,10,916559,1638,38241193
1084337,11,903327,1571,35418841
721591,11,584727,1056,20994144
816376,11,691706,1300,26005938
1132565,11,1052180,1587,39931458
1126096,11,1059188,1595,42379893
1060678,11,958773,2538,39294305
1207583,10,1003562,788,37169688
1032015,10,838078,628,33570645
710531,11,578092,348,20417738
816427,11,687276,331,23934409
1114196,11,1039094,675,41407340
1118516,11,1094669,868,45056066
1071980,11,997727,831,41864153
1041658,11,911643,733,37971367
909753,11,774743,844,33169601
660590,12,560193,323,19775187
805721,11,669937,447,23693052
1100369,11,1025941,665,39806722
1181646,11,1129195,985,45259389
1111346,11,1025186,1401,42035593
1064800,10,930166,861,39050409
928129,11,781731,706,34234683
700176,11,565289,364,20309957
805317,11,662007,414,24079264
1088224,11,1012020,749,38985858
1172923,11,1102109,4318,44711389
1153996,11,1032431,942,40016771
1048533,10,903531,873,36155056
1012290,10,790292,454,32432825
703766,11,555310,252,19149566
814266,11,675975,391,24089021
1067710,10,981882,569,38131569
1055139,11,1027560,826,42623679
1009189,11,947789,1918,39309609
1081372,10,912878,680,35982733
910228,10,772331,514,32525273
662572,11,568660,245,20225924
797245,11,700135,409,24352886
1050926,11,1028659,778,40529590
1053374,11,1065947,770,44655796
1068507,11,1027826,1074,42108303
1024114,11,924824,1215,39067442
877390,11,770593,607,33509876
582421,12,527556,257,18898419
614055,11,556607,516,18901339
816686,11,762180,316,27441052
1080749,11,1108674,820,46032211
1041698,11,1048158,1695,45521678
1044585,11,980412,693,41357912
902252,11,817975,497,35837017
654551,11,574565,323,21077795
796001,11,704636,384,25911835
1060281,11,1030441,598,41681747
1118746,11,1098543,719,45741074
1033778,11,977861,644,42014975
1014848,10,911622,693,37940047
934236,11,793735,532,34844645
665140,11,559773,300,20504009
772091,11,680201,346,24914336
1065913,11,1028883,571,41901399
1043620,11,1054854,729,45635015
1081492,11,1008382,870,42398957
997769,10,912863,587,38190669
870225,11,772626,645,34280255
634998,11,544785,218,20277635
769698,11,666020,411,24881433
1065672,11,1039958,603,40810747
